Iter #50: tensor([-0.0002], device='cuda:0', grad_fn=<MulBackward0>)
Iter #100: tensor([-0.0011], device='cuda:0', grad_fn=<MulBackward0>)
Iter #150: tensor([-0.0022], device='cuda:0', grad_fn=<MulBackward0>)
Iter #200: tensor([-0.0010], device='cuda:0', grad_fn=<MulBackward0>)
Iter #250: tensor([-0.0019], device='cuda:0', grad_fn=<MulBackward0>)
Iter #300: tensor([-0.0076], device='cuda:0', grad_fn=<MulBackward0>)
Iter #350: tensor([-0.9170], device='cuda:0', grad_fn=<MulBackward0>)
Iter #400: tensor([-0.5540], device='cuda:0', grad_fn=<MulBackward0>)
Iter #450: tensor([-0.8226], device='cuda:0', grad_fn=<MulBackward0>)
Iter #500: tensor([-0.8818], device='cuda:0', grad_fn=<MulBackward0>)
Iter #550: tensor([-0.9574], device='cuda:0', grad_fn=<MulBackward0>)
Iter #600: tensor([-0.7586], device='cuda:0', grad_fn=<MulBackward0>)
Iter #650: tensor([-0.9171], device='cuda:0', grad_fn=<MulBackward0>)
Iter #700: tensor([-0.9382], device='cuda:0', grad_fn=<MulBackward0>)
Iter #750: tensor([-0.8575], device='cuda:0', grad_fn=<MulBackward0>)
Iter #800: tensor([-0.8988], device='cuda:0', grad_fn=<MulBackward0>)
Iter #850: tensor([-0.3252], device='cuda:0', grad_fn=<MulBackward0>)
Iter #900: tensor([-0.8761], device='cuda:0', grad_fn=<MulBackward0>)
Iter #950: tensor([-0.9539], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1000: tensor([-0.9545], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1050: tensor([-0.9528], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1100: tensor([-0.9702], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1150: tensor([-0.4851], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1200: tensor([-0.9428], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1250: tensor([-0.9223], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1300: tensor([-0.9531], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1350: tensor([-0.9533], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1400: tensor([-0.5005], device='cuda:0', grad_fn=<MulBackward0>)
Iter #1450: tensor([-0.6589], device='cuda:0', grad_fn=<MulBackward0>)
