Iter #50: tensor([0.5529], device='cuda:0', grad_fn=<DivBackward0>)
Iter #100: tensor([0.4166], device='cuda:0', grad_fn=<DivBackward0>)
Iter #150: tensor([0.5098], device='cuda:0', grad_fn=<DivBackward0>)
Iter #200: tensor([0.4598], device='cuda:0', grad_fn=<DivBackward0>)
Iter #250: tensor([0.5080], device='cuda:0', grad_fn=<DivBackward0>)
Iter #300: tensor([0.4171], device='cuda:0', grad_fn=<DivBackward0>)
Iter #350: tensor([-0.3549], device='cuda:0', grad_fn=<DivBackward0>)
Iter #400: tensor([-0.2213], device='cuda:0', grad_fn=<DivBackward0>)
Iter #450: tensor([-0.3183], device='cuda:0', grad_fn=<DivBackward0>)
Iter #500: tensor([-0.4149], device='cuda:0', grad_fn=<DivBackward0>)
Iter #550: tensor([-0.4007], device='cuda:0', grad_fn=<DivBackward0>)
Iter #600: tensor([-0.2754], device='cuda:0', grad_fn=<DivBackward0>)
Iter #650: tensor([-0.4108], device='cuda:0', grad_fn=<DivBackward0>)
Iter #700: tensor([-0.3826], device='cuda:0', grad_fn=<DivBackward0>)
Iter #750: tensor([-0.3513], device='cuda:0', grad_fn=<DivBackward0>)
Iter #800: tensor([-0.4565], device='cuda:0', grad_fn=<DivBackward0>)
Iter #850: tensor([0.1770], device='cuda:0', grad_fn=<DivBackward0>)
Iter #900: tensor([-0.2507], device='cuda:0', grad_fn=<DivBackward0>)
Iter #950: tensor([-0.4243], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1000: tensor([-0.4864], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1050: tensor([-0.3977], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1100: tensor([-0.5212], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1150: tensor([-0.0995], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1200: tensor([-0.2615], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1250: tensor([-0.4389], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1300: tensor([-0.4255], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1350: tensor([-0.4378], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1400: tensor([-0.3262], device='cuda:0', grad_fn=<DivBackward0>)
Iter #1450: tensor([-0.2248], device='cuda:0', grad_fn=<DivBackward0>)
